age,PhD,Master's,CS,Maths,Chem,Business,Management,Marketing,Bio,numJobs,numDegrees,avLengthJob,avLengthDegree,timeToFound,timeFromLastEd,timeFromFirstJob,timeFromLastJob,unemployedTime,simulJobs,success
33.77808219178087,0,1,1,0,0,0,0,0,0,2,1,1.957650273223976,6.0,5.0,5.0,4.584699453551821,0.6693989071038686,1.0890000000000004,0,1.0
27.778082191780868,0,0,0,0,0,0,0,0,0,4,1,1.5842465753424335,3.0,7.0,7.0,7.504109589041036,0.0,0.9199999999999999,1,1.0
24.778082191780868,0,0,0,0,0,0,0,0,0,1,1,1.0011452953065145,4.0,3.0,3.0,1.41917808219182,0.41803278688530554,2.0020000000000007,0,1.0
37.77808219178087,0,0,0,0,0,0,0,0,0,13,2,2.6854595288684604,5.0,21.0,18.0,12.418032786885306,0.0,6.411999999999999,5,1.0
32.77808219178087,0,0,0,0,0,0,0,0,0,9,4,3.388026382546943,2.5,16.0,12.0,15.0,0.0,0.7560000000000002,1,1.0
36.77808219178087,0,0,0,0,0,0,0,0,0,9,3,2.7663738969150824,3.0,16.0,16.0,15.334246575342377,0.0,0.6649999999999991,2,1.0
36.77808219178087,1,1,0,0,0,0,0,0,0,8,4,2.243150684931493,5.501369863013679,18.0,7.0,14.0,0.0,1.6960000000000015,2,1.0
40.77808219178087,0,1,1,0,0,0,0,0,0,4,3,3.5421214162736305,3.0,21.0,16.0,15.502732240437126,0.0,1.8249999999999993,1,1.0
36.77808219178087,1,0,1,0,0,0,0,0,0,4,2,2.354794520547955,4.5,15.0,10.0,9.41917808219182,0.0,0.5700000000000003,1,1.0
30.778082191780868,0,0,0,0,0,0,0,0,0,4,0,1.8754004790778254,0.0,0.0,0.0,8.586301369863122,0.0,1.0818739726027538,1,1.0
26.778082191780868,0,0,1,0,0,0,0,0,0,7,1,0.6780180295787497,5.0,4.0,4.0,5.0,0.0,0.657,1,1.0
36.77808219178087,0,1,0,0,0,0,0,0,0,5,2,2.600594355864996,3.5,15.0,12.0,11.41917808219182,0.0,0.7409999999999997,2,1.0
31.778082191780868,0,1,0,0,0,0,0,0,0,7,5,3.906066536203525,1.2,12.0,5.0,13.671232876712338,0.0,0.0,3,1.0
25.778082191780868,0,0,0,0,0,0,1,0,0,6,2,1.7362240187638538,4.0,4.0,4.0,3.3342465753423767,0.0,0.0,1,1.0
22.939726027397228,0,0,0,0,0,0,0,0,0,7,2,0.9398885716424112,3.5,6.16164383561636,1.1616438356163599,3.832876712328698,0.0,0.9986191780821834,2,1.0
32.02465753424667,0,0,0,0,0,0,0,0,0,2,0,0.32831050228298864,0.0,0.0,0.0,0.16164383561635987,0.0,0.0,2,1.0
24.939726027397228,0,0,0,0,1,0,0,0,0,4,1,0.41438356164383094,4.0,3.16164383561636,3.16164383561636,0.16164383561635987,1.413698630136878,1.9193205479451843,2,1.0
54.93972602739723,0,0,0,0,0,0,0,1,0,8,2,1.1136986301369802,4.0,33.16164383561636,33.16164383561636,9.413698630136878,0.0,24.229391780821867,1,1.0
35.77808219178087,1,0,0,0,0,0,0,0,0,3,3,4.8328767123287735,6.666666666666667,19.0,1.0,4.751366120218563,0.0,2.0009999999999977,1,1.0
42.77808219178087,0,1,0,0,0,0,0,0,0,0,2,0.0,2.5,22.0,13.0,0.0,0.0,20.0,0,1.0
37.77808219178087,0,1,0,0,0,0,0,0,0,5,3,1.60164383561646,2.6666666666666665,10.0,8.0,9.586301369863122,0.0,0.495000000000001,1,1.0
32.02465753424667,0,0,0,0,0,0,0,0,0,5,0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1,1.0
54.77808219178087,0,1,0,0,0,0,0,0,0,11,1,4.3175591531756,5.0,27.0,27.0,7.0,0.0,8.032,4,1.0
43.77808219178087,0,1,0,0,0,0,0,0,0,8,3,4.4157824313197125,4.0,27.0,14.0,22.0,0.0,3.990000000000002,2,1.0
33.44383561643872,1,0,1,0,0,0,0,0,0,4,2,2.7081050228310346,4.5,11.665753424657623,6.665753424657623,9.250452878209444,0.0,0.4229753424657563,1,1.0
40.44383561643872,1,0,1,0,0,0,0,0,0,15,3,2.87246550390502,6.333333333333333,24.665753424657623,17.665753424657623,19.665753424657623,0.0,0.7743123287671239,4,1.0
50.44383561643872,0,1,1,0,0,0,0,0,0,11,2,3.1139055046308965,3.5,29.665753424657623,25.665753424657623,6.665753424657623,0.0,1.306630136986307,3,1.0
27.778082191780868,1,1,1,0,0,0,0,0,0,4,3,2.7294520547945353,3.0,6.0,0.0,10.0,0.0,0.0,1,1.0
25.778082191780868,1,1,0,0,0,0,0,0,0,2,3,2.335616438356169,2.3333333333333335,5.0,1.0,4.671232876712338,0.0,0.0,1,1.0
26.863013698629857,0,1,0,0,0,1,0,0,0,7,5,0.38202495909656264,1.7835152331761492,4.084931506849216,1.0002320532973954,4.587663747286342,0.08493150684921602,0.17003835616438145,0,1.0
31.863013698629857,0,1,0,0,0,1,1,0,0,5,6,1.1345190508271117,4.84748858447487,8.084931506849216,0.0,6.084931506849216,0.0,1.0000301369862932,2,1.0
22.778082191780868,1,0,0,0,1,0,0,0,1,5,4,2.8500905756418433,3.0,21.0,3.0,16.586301369863122,0.0,3.775000000000002,1,1.0
34.27397260273983,0,1,1,0,0,0,0,0,0,4,2,3.2918388352421744,6.5,11.495890410958964,5.495890410958964,10.411190957407143,0.0,0.33292602739726007,1,1.0
34.27397260273983,0,1,1,0,0,0,0,0,0,5,1,1.5328782094468807,2.0,9.495890410958964,9.495890410958964,10.495890410958964,0.0,1.8163506849315159,1,1.0
